index,median_occ
2 days 09:00:00,3.0
2 days 09:15:00,6.0
2 days 09:30:00,8.0
2 days 09:45:00,10.0
2 days 10:00:00,11.0
2 days 10:15:00,14.0
2 days 10:30:00,15.0
2 days 10:45:00,16.0
2 days 11:00:00,17.0
2 days 11:15:00,17.0
2 days 11:30:00,16.0
2 days 11:45:00,15.0
2 days 12:00:00,13.0
2 days 12:15:00,12.0
2 days 12:30:00,15.0
2 days 12:45:00,15.0
2 days 13:00:00,17.0
2 days 13:15:00,17.0
2 days 13:30:00,17.0
2 days 13:45:00,18.0
2 days 14:00:00,18.0
2 days 14:15:00,18.0
2 days 14:30:00,19.0
2 days 14:45:00,17.0
2 days 15:00:00,19.0
2 days 15:15:00,20.0
2 days 15:30:00,21.0
2 days 15:45:00,22.0
2 days 16:00:00,19.0
2 days 16:15:00,21.0
2 days 16:30:00,21.0
2 days 16:45:00,21.0
2 days 17:00:00,19.0
2 days 17:15:00,15.0
2 days 17:30:00,16.0
2 days 17:45:00,14.0
2 days 18:00:00,9.0
2 days 18:15:00,9.0
2 days 18:30:00,8.0
2 days 18:45:00,6.0
2 days 19:00:00,6.0
2 days 19:15:00,6.0
2 days 19:30:00,6.0
2 days 19:45:00,6.0
2 days 20:00:00,6.0
2 days 20:15:00,5.5
2 days 20:30:00,5.5
2 days 20:45:00,6.0
2 days 21:00:00,5.5
2 days 21:15:00,5.0
2 days 21:30:00,4.5
2 days 21:45:00,4.5
2 days 22:00:00,4.0
2 days 22:15:00,3.5
2 days 22:30:00,4.0
2 days 22:45:00,3.0
2 days 23:00:00,2.5
2 days 23:15:00,3.0
2 days 23:30:00,3.0
2 days 23:45:00,3.0
3 days 00:00:00,3.0
3 days 00:15:00,3.0
3 days 00:30:00,3.0
3 days 00:45:00,2.5
3 days 01:00:00,2.0
3 days 01:15:00,2.0
3 days 01:30:00,2.0
3 days 01:45:00,2.0
3 days 02:00:00,2.0
3 days 02:15:00,2.0
3 days 02:30:00,2.0
3 days 02:45:00,2.0
3 days 03:00:00,2.0
3 days 03:15:00,1.5
3 days 03:30:00,1.5
3 days 03:45:00,1.0
3 days 04:00:00,1.0
3 days 04:15:00,1.0
3 days 04:30:00,1.0
3 days 04:45:00,1.0
3 days 05:00:00,0.5
3 days 05:15:00,0.5
3 days 05:30:00,0.5
3 days 05:45:00,0.5
3 days 06:00:00,0.0
3 days 06:15:00,0.0
3 days 06:30:00,0.0
3 days 06:45:00,0.0
3 days 07:00:00,0.0
3 days 07:15:00,0.0
3 days 07:30:00,1.0
3 days 07:45:00,1.0
3 days 08:00:00,1.0
3 days 08:15:00,2.0
3 days 08:30:00,2.0
3 days 08:45:00,2.5
3 days 09:00:00,4.0
3 days 09:15:00,8.0
3 days 09:30:00,11.0
3 days 09:45:00,13.5
3 days 10:00:00,13.0
3 days 10:15:00,15.5
3 days 10:30:00,18.0
3 days 10:45:00,17.5
3 days 11:00:00,19.0
3 days 11:15:00,21.0
3 days 11:30:00,22.0
3 days 11:45:00,20.0
3 days 12:00:00,17.0
3 days 12:15:00,15.0
3 days 12:30:00,17.5
3 days 12:45:00,19.0
3 days 13:00:00,20.0
3 days 13:15:00,21.0
3 days 13:30:00,22.0
3 days 13:45:00,24.0
3 days 14:00:00,22.0
3 days 14:15:00,21.0
3 days 14:30:00,20.0
3 days 14:45:00,21.0
3 days 15:00:00,21.0
3 days 15:15:00,24.0
3 days 15:30:00,24.0
3 days 15:45:00,23.0
3 days 16:00:00,22.0
3 days 16:15:00,21.0
3 days 16:30:00,20.0
3 days 16:45:00,21.0
3 days 17:00:00,18.0
3 days 17:15:00,16.0
3 days 17:30:00,14.0
3 days 17:45:00,14.0
3 days 18:00:00,11.0
3 days 18:15:00,9.0
3 days 18:30:00,8.0
3 days 18:45:00,7.0
3 days 19:00:00,7.0
3 days 19:15:00,6.0
3 days 19:30:00,5.0
3 days 19:45:00,5.0
3 days 20:00:00,6.0
3 days 20:15:00,6.0
3 days 20:30:00,6.0
3 days 20:45:00,6.0
3 days 21:00:00,6.0
3 days 21:15:00,6.0
3 days 21:30:00,4.0
3 days 21:45:00,4.0
3 days 22:00:00,4.0
3 days 22:15:00,4.0
3 days 22:30:00,4.0
3 days 22:45:00,4.0
3 days 23:00:00,3.0
3 days 23:15:00,3.0
3 days 23:30:00,3.0
3 days 23:45:00,3.0
4 days 00:00:00,3.0
4 days 00:15:00,3.0
4 days 00:30:00,3.0
4 days 00:45:00,3.0
4 days 01:00:00,3.0
4 days 01:15:00,2.0
4 days 01:30:00,2.0
4 days 01:45:00,2.0
4 days 02:00:00,2.0
4 days 02:15:00,2.0
4 days 02:30:00,2.0
4 days 02:45:00,2.0
4 days 03:00:00,2.0
4 days 03:15:00,2.0
4 days 03:30:00,2.0
4 days 03:45:00,2.0
4 days 04:00:00,2.0
4 days 04:15:00,2.0
4 days 04:30:00,2.0
4 days 04:45:00,1.0
4 days 05:00:00,1.0
4 days 05:15:00,1.0
4 days 05:30:00,1.0
4 days 05:45:00,1.0
4 days 06:00:00,0.0
4 days 06:15:00,0.0
4 days 06:30:00,0.0
4 days 06:45:00,0.0
4 days 07:00:00,0.0
4 days 07:15:00,1.0
4 days 07:30:00,1.0
4 days 07:45:00,1.0
4 days 08:00:00,1.0
4 days 08:15:00,2.0
4 days 08:30:00,2.0
4 days 08:45:00,3.0
4 days 09:00:00,4.0
4 days 09:15:00,7.0
4 days 09:30:00,7.0
4 days 09:45:00,10.0
4 days 10:00:00,10.0
4 days 10:15:00,11.0
4 days 10:30:00,12.0
4 days 10:45:00,14.0
4 days 11:00:00,14.0
4 days 11:15:00,14.0
4 days 11:30:00,16.0
4 days 11:45:00,13.0
4 days 12:00:00,11.0
4 days 12:15:00,11.0
4 days 12:30:00,10.0
4 days 12:45:00,12.0
4 days 13:00:00,12.0
4 days 13:15:00,14.0
4 days 13:30:00,16.0
4 days 13:45:00,16.0
4 days 14:00:00,16.0
4 days 14:15:00,16.0
4 days 14:30:00,19.0
4 days 14:45:00,19.0
4 days 15:00:00,16.0
4 days 15:15:00,19.0
4 days 15:30:00,15.0
4 days 15:45:00,17.0
4 days 16:00:00,16.0
4 days 16:15:00,15.0
4 days 16:30:00,13.0
4 days 16:45:00,12.0
4 days 17:00:00,12.0
4 days 17:15:00,8.0
4 days 17:30:00,7.0
4 days 17:45:00,6.0
4 days 18:00:00,5.0
4 days 18:15:00,5.0
4 days 18:30:00,4.0
4 days 18:45:00,3.0
4 days 19:00:00,3.0
4 days 19:15:00,2.0
4 days 19:30:00,3.0
4 days 19:45:00,3.0
4 days 20:00:00,3.0
4 days 20:15:00,2.0
4 days 20:30:00,2.0
4 days 20:45:00,2.0
4 days 21:00:00,2.0
4 days 21:15:00,2.0
4 days 21:30:00,2.0
4 days 21:45:00,2.0
4 days 22:00:00,1.0
4 days 22:15:00,1.0
4 days 22:30:00,1.0
4 days 22:45:00,1.0
4 days 23:00:00,1.0
4 days 23:15:00,1.0
4 days 23:30:00,1.0
4 days 23:45:00,1.0
5 days 00:00:00,1.0
5 days 00:15:00,1.0
5 days 00:30:00,1.0
5 days 00:45:00,1.0
5 days 01:00:00,1.0
5 days 01:15:00,1.0
5 days 01:30:00,1.0
5 days 01:45:00,1.0
5 days 02:00:00,1.0
5 days 02:15:00,1.0
5 days 02:30:00,1.0
5 days 02:45:00,1.0
5 days 03:00:00,1.0
5 days 03:15:00,1.0
5 days 03:30:00,1.0
5 days 03:45:00,1.0
5 days 04:00:00,1.0
5 days 04:15:00,1.0
5 days 04:30:00,1.0
5 days 04:45:00,1.0
5 days 05:00:00,0.0
5 days 05:15:00,0.0
5 days 05:30:00,0.0
5 days 05:45:00,0.0
5 days 06:00:00,0.0
5 days 06:15:00,0.0
5 days 06:30:00,0.0
5 days 06:45:00,0.0
5 days 07:00:00,0.0
5 days 07:15:00,0.0
5 days 07:30:00,0.0
5 days 07:45:00,0.0
5 days 08:00:00,0.0
5 days 08:15:00,0.0
5 days 08:30:00,0.0
5 days 08:45:00,0.0
5 days 09:00:00,0.0
5 days 09:15:00,0.0
5 days 09:30:00,0.0
5 days 09:45:00,0.0
5 days 10:00:00,1.0
5 days 10:15:00,1.0
5 days 10:30:00,1.0
5 days 10:45:00,1.0
5 days 11:00:00,1.0
5 days 11:15:00,1.0
5 days 11:30:00,1.0
5 days 11:45:00,1.0
5 days 12:00:00,1.0
5 days 12:15:00,1.0
5 days 12:30:00,1.0
5 days 12:45:00,1.0
5 days 13:00:00,1.0
5 days 13:15:00,1.0
5 days 13:30:00,1.0
5 days 13:45:00,1.0
5 days 14:00:00,1.0
5 days 14:15:00,2.0
5 days 14:30:00,2.0
5 days 14:45:00,2.0
5 days 15:00:00,3.0
5 days 15:15:00,3.0
5 days 15:30:00,3.0
5 days 15:45:00,3.0
5 days 16:00:00,3.0
5 days 16:15:00,3.0
5 days 16:30:00,3.0
5 days 16:45:00,3.0
5 days 17:00:00,3.0
5 days 17:15:00,4.0
5 days 17:30:00,3.0
5 days 17:45:00,2.0
5 days 18:00:00,2.0
5 days 18:15:00,2.0
5 days 18:30:00,1.0
5 days 18:45:00,1.0
5 days 19:00:00,2.0
5 days 19:15:00,2.0
5 days 19:30:00,2.0
5 days 19:45:00,2.0
5 days 20:00:00,2.0
5 days 20:15:00,1.0
5 days 20:30:00,1.0
5 days 20:45:00,1.0
5 days 21:00:00,2.0
5 days 21:15:00,1.0
5 days 21:30:00,1.0
5 days 21:45:00,1.0
5 days 22:00:00,1.0
5 days 22:15:00,1.0
5 days 22:30:00,1.0
5 days 22:45:00,1.0
5 days 23:00:00,0.0
5 days 23:15:00,0.0
5 days 23:30:00,0.0
5 days 23:45:00,0.0
6 days 00:00:00,0.0
6 days 00:15:00,0.0
6 days 00:30:00,0.0
6 days 00:45:00,0.0
6 days 01:00:00,0.0
6 days 01:15:00,0.0
6 days 01:30:00,0.0
6 days 01:45:00,0.0
6 days 02:00:00,0.0
6 days 02:15:00,0.0
6 days 02:30:00,0.0
6 days 02:45:00,0.0
6 days 03:00:00,0.0
6 days 03:15:00,0.0
6 days 03:30:00,0.0
6 days 03:45:00,0.0
6 days 04:00:00,0.0
6 days 04:15:00,0.0
6 days 04:30:00,0.0
6 days 04:45:00,0.0
6 days 05:00:00,0.0
6 days 05:15:00,0.0
6 days 05:30:00,0.0
6 days 05:45:00,0.0
6 days 06:00:00,0.0
