index,median_occ
6 days 06:15:00,0.0
6 days 06:30:00,0.0
6 days 06:45:00,0.0
6 days 07:00:00,0.0
6 days 07:15:00,0.0
6 days 07:30:00,0.0
6 days 07:45:00,0.0
6 days 08:00:00,0.0
6 days 08:15:00,0.0
6 days 08:30:00,0.0
6 days 08:45:00,0.0
6 days 09:00:00,0.0
6 days 09:15:00,0.0
6 days 09:30:00,0.0
6 days 09:45:00,0.0
6 days 10:00:00,0.0
6 days 10:15:00,0.0
6 days 10:30:00,0.0
6 days 10:45:00,0.0
6 days 11:00:00,1.0
6 days 11:15:00,1.0
6 days 11:30:00,1.0
6 days 11:45:00,1.0
6 days 12:00:00,1.0
6 days 12:15:00,1.0
6 days 12:30:00,1.0
6 days 12:45:00,2.0
6 days 13:00:00,1.0
6 days 13:15:00,2.0
6 days 13:30:00,2.0
6 days 13:45:00,2.0
6 days 14:00:00,2.0
6 days 14:15:00,3.0
6 days 14:30:00,2.0
6 days 14:45:00,2.0
6 days 15:00:00,2.0
6 days 15:15:00,3.0
6 days 15:30:00,4.0
6 days 15:45:00,4.0
6 days 16:00:00,4.0
6 days 16:15:00,4.0
6 days 16:30:00,4.0
6 days 16:45:00,4.0
6 days 17:00:00,4.0
6 days 17:15:00,4.0
6 days 17:30:00,3.0
6 days 17:45:00,2.0
6 days 18:00:00,2.0
6 days 18:15:00,2.0
6 days 18:30:00,2.0
6 days 18:45:00,2.0
6 days 19:00:00,2.0
6 days 19:15:00,1.0
6 days 19:30:00,1.0
6 days 19:45:00,2.0
6 days 20:00:00,2.0
6 days 20:15:00,2.0
6 days 20:30:00,1.0
6 days 20:45:00,2.0
6 days 21:00:00,2.0
6 days 21:15:00,2.0
6 days 21:30:00,1.0
6 days 21:45:00,1.0
6 days 22:00:00,2.0
6 days 22:15:00,1.0
6 days 22:30:00,1.0
6 days 22:45:00,1.0
6 days 23:00:00,1.0
6 days 23:15:00,1.0
6 days 23:30:00,1.0
6 days 23:45:00,0.0
